,Date,County,Population,Positive Tests,Cases Per 100k
20872,2020-05-16,Fresno,1032227.0,25.0,2.42
20874,2020-05-16,Humboldt,134098.0,2.0,1.49
20875,2020-05-16,Imperial,191649.0,54.0,28.18
20877,2020-05-16,Kern,927251.0,42.0,4.53
20878,2020-05-16,Kings,156444.0,11.0,7.03
20881,2020-05-16,Los Angeles,10257557.0,1098.0,10.7
20882,2020-05-16,Madera,160089.0,1.0,0.62
20883,2020-05-16,Marin,260800.0,5.0,1.92
20886,2020-05-16,Merced,287420.0,1.0,0.35
20889,2020-05-16,Monterey,448732.0,3.0,0.67
20890,2020-05-16,Napa,139652.0,1.0,0.72
20892,2020-05-16,Orange,3228519.0,146.0,4.52
20894,2020-05-16,Placer,400434.0,2.0,0.5
20896,2020-05-16,Riverside,2468145.0,111.0,4.5
20897,2020-05-16,Sacramento,1567975.0,9.0,0.57
20899,2020-05-16,San Bernardino,2217398.0,71.0,3.2
20900,2020-05-16,San Diego,3370418.0,93.0,2.76
20901,2020-05-16,San Francisco,892280.0,18.0,2.02
20902,2020-05-16,San Joaquin,782545.0,7.0,0.89
20903,2020-05-16,San Luis Obispo,278862.0,1.0,0.36
20904,2020-05-16,San Mateo,778001.0,15.0,1.93
20905,2020-05-16,Santa Barbara,456373.0,5.0,1.1
20906,2020-05-16,Santa Clara,1967585.0,23.0,1.17
20907,2020-05-16,Santa Cruz,273999.0,3.0,1.09
20908,2020-05-16,Shasta,177925.0,1.0,0.56
20911,2020-05-16,Solano,444255.0,5.0,1.13
20912,2020-05-16,Sonoma,496668.0,10.0,2.01
20913,2020-05-16,Stanislaus,562303.0,2.0,0.36
20914,2020-05-16,Sutter,105747.0,1.0,0.95
20917,2020-05-16,Tulare,484423.0,30.0,6.19
20920,2020-05-16,Ventura,852747.0,10.0,1.17
20921,2020-05-16,Yolo,223612.0,0.0,0.0
20923,2020-05-15,Alameda,1685886.0,85.0,5.04
20926,2020-05-15,Butte,217769.0,1.0,0.46
20930,2020-05-15,Contra Costa,1160099.0,25.0,2.15
20932,2020-05-15,El Dorado,193098.0,9.0,4.66
20933,2020-05-15,Fresno,1032227.0,49.0,4.75
20935,2020-05-15,Humboldt,134098.0,9.0,6.71
20936,2020-05-15,Imperial,191649.0,74.0,38.61
20938,2020-05-15,Kern,927251.0,52.0,5.61
20939,2020-05-15,Kings,156444.0,14.0,8.95
20942,2020-05-15,Los Angeles,10257557.0,1863.0,18.16
20943,2020-05-15,Madera,160089.0,5.0,3.12
20944,2020-05-15,Marin,260800.0,17.0,6.52
20947,2020-05-15,Merced,287420.0,4.0,1.39
20950,2020-05-15,Monterey,448732.0,10.0,2.23
20951,2020-05-15,Napa,139652.0,4.0,2.86
20953,2020-05-15,Orange,3228519.0,205.0,6.35
20955,2020-05-15,Placer,400434.0,5.0,1.25
20957,2020-05-15,Riverside,2468145.0,178.0,7.21
20958,2020-05-15,Sacramento,1567975.0,13.0,0.83
20960,2020-05-15,San Bernardino,2217398.0,191.0,8.61
20961,2020-05-15,San Diego,3370418.0,180.0,5.34
20962,2020-05-15,San Francisco,892280.0,59.0,6.61
20963,2020-05-15,San Joaquin,782545.0,19.0,2.43
20964,2020-05-15,San Luis Obispo,278862.0,5.0,1.79
20965,2020-05-15,San Mateo,778001.0,70.0,9.0
20966,2020-05-15,Santa Barbara,456373.0,22.0,4.82
20967,2020-05-15,Santa Clara,1967585.0,38.0,1.93
20968,2020-05-15,Santa Cruz,273999.0,1.0,0.36
20969,2020-05-15,Shasta,177925.0,0.0,0.0
20972,2020-05-15,Solano,444255.0,8.0,1.8
20973,2020-05-15,Sonoma,496668.0,20.0,4.03
20974,2020-05-15,Stanislaus,562303.0,21.0,3.73
20975,2020-05-15,Sutter,105747.0,0.0,0.0
20978,2020-05-15,Tulare,484423.0,52.0,10.73
20981,2020-05-15,Ventura,852747.0,31.0,3.64
20982,2020-05-15,Yolo,223612.0,4.0,1.79
20984,2020-05-14,Alameda,1685886.0,82.0,4.86
20987,2020-05-14,Butte,217769.0,1.0,0.46
20991,2020-05-14,Contra Costa,1160099.0,17.0,1.47
20993,2020-05-14,El Dorado,193098.0,1.0,0.52
20994,2020-05-14,Fresno,1032227.0,63.0,6.1
20996,2020-05-14,Humboldt,134098.0,1.0,0.75
20997,2020-05-14,Imperial,191649.0,75.0,39.13
20999,2020-05-14,Kern,927251.0,41.0,4.42
